C_ID,M_ID,C_NAME,C_EMAIL_ID,C_TYPE,C_ADDR,C_CONT_NO,Valid/Invalid Contact ,Valid/Invalid Email,Normalized Customer Name,Normalized Email ID
230,31,Mitchell,Harriette42@ymail.com,Internal Goods,2100 Block of 27TH AV,9961255787,Valid,Valid,Mitchell,harriette42@ymail.com
3189,495,Reginald,Matthew951@yahoo.co.in,Wholesale,300 Block of ELLIS ST,3555176867,Valid,Valid,Reginald,matthew951@yahoo.co.in
2216,795,Jaylene,Geraldine867@ymail.co.in,Retail,1000 Block of MISSION ST,9835395970,Valid,Valid,Jaylene,geraldine867@ymail.co.in
1904,33,Stacie,Brenda905@ymail.com,Internal Goods,800 Block of BRYANT ST,3881250181,Valid,Valid,Stacie,brenda905@ymail.com
7342,882,Jonathan,Malie282@gmail.com,Wholesale,0 Block of DRUMM ST,1507211823,Valid,Valid,Jonathan,malie282@gmail.com
7633,657,Italia,Fred847@google.co.in,Internal Goods,3RD ST / FOLSOM ST,5612381477,Valid,Valid,Italia,fred847@google.co.in
2154,761,Catherine,Clay224@gmail.com,Wholesale,GOLDEN GATE AV / PARKER AV,8094222335,Valid,Valid,Catherine,clay224@gmail.com
5543,20,Pierre,Alaysha578@hotmail.com,Wholesale,1400 Block of DEHARO ST,4133741447,Valid,Valid,Pierre,alaysha578@hotmail.com
2332,356,Sheryl,Kelli519@gmail.com,Retail,FOLSOM ST / 3RD ST,4399641006,Valid,Valid,Sheryl,kelli519@gmail.com
4094,301,Rory,Ryker154@hotmail.com,Internal Goods,0 Block of THRIFT ST,7077259810,Valid,Valid,Rory,ryker154@hotmail.com
3042,450,cecile,Johnnie593@hotmail.com,Wholesale,100 Block of GOLDEN GATE AV,1634188566,Valid,Valid,Cecile,johnnie593@hotmail.com
2220,782,Monte,Zykeria36@google.co.in,Wholesale,2400 Block of DIAMOND ST,6963794710,Valid,Valid,Monte,zykeria36@google.co.in
4988,820,Belle,Selma775@yahoo.co.in,Wholesale,FOLSOM ST / CESAR CHAVEZ ST,2644171337,Valid,Valid,Belle,selma775@yahoo.co.in
175,316,Rayshawn,Kathryn298@gmail.com,Wholesale,100 Block of LELAND AV,3057896481,Valid,Valid,Rayshawn,kathryn298@gmail.com
4233,945,abby,Karl167@google.co.in,Internal Goods,600 Block of CLEMENT ST,3335480444,Valid,Valid,Abby,karl167@google.co.in
